image_name	condition	sister_chromatid_peak_to_peak_distance	radial_displacement	figure_panel
Scc1_EdU_Hoechst_220405_wt_prophase_rep1_hemi_stain_smc4_cycb1_zoom4_8-03-140.czi #2.tif_registered.tif	wt_late_prophase_one_sister_labelled	0.4487878787878788	-0.0299191919191919	fig3a, d, e
Scc1_EdU_Hoechst_220405_wt_prophase_rep1_hemi_stain_smc4_cycb1_zoom4_8-03-140.czi #2.tif_registered.tif	wt_late_prophase_one_sister_labelled	0.4287676767676767	-0.0612525252525252	fig3a, d, e
Scc1_EdU_Hoechst_220405_wt_prophase_rep1_hemi_stain_smc4_cycb1_zoom4_8-03-140.czi #2.tif_registered.tif	wt_late_prophase_one_sister_labelled	0.5981818181818181	-0.1367272727272727	fig3a, d, e
Scc1_EdU_Hoechst_220405_wt_prophase_rep1_hemi_stain_smc4_cycb1_zoom4_8-03-140.czi #2.tif_registered.tif	wt_late_prophase_one_sister_labelled	0.4184343434343435	-0.1004242424242424	fig3a, d, e
Scc1_EdU_Hoechst_220207_5389_WT_c1_rep1_prophase_smc4_axes_60min_stlc_hemi_zoom5-01-46.czi #5.tif_registered.tif	wt_late_prophase_one_sister_labelled	0.6410909090909092	-0.0	fig3a, d, e
Scc1_EdU_Hoechst_220207_5389_WT_c1_rep1_prophase_smc4_axes_60min_stlc_hemi_zoom5-01-46.czi #5.tif_registered.tif	wt_late_prophase_one_sister_labelled	0.5289999999999999	0.0160303030303029	fig3a, d, e
Scc1_EdU_Hoechst_220207_5389_WT_c1_rep1_prophase_smc4_axes_60min_stlc_hemi_zoom5-01-46.czi #5.tif_registered.tif	wt_late_prophase_one_sister_labelled	0.611	0.0740606060606061	fig3a, d, e
Scc1_EdU_Hoechst_220207_5389_WT_c2_rep2_prophase_axes_60min_stlc_hemi_zoom5-01-79-87.tif_registered.tif	wt_late_prophase_one_sister_labelled	0.5684848484848485	0.027070707070707	fig3a, d, e
Scc1_EdU_Hoechst_220207_5389_WT_c2_rep2_prophase_axes_60min_stlc_hemi_zoom5-01-79-87.tif_registered.tif	wt_late_prophase_one_sister_labelled	0.512969696969697	-0.1122121212121212	fig3a, d, e
Scc1_EdU_Hoechst_220207_5389_WT_c2_rep2_prophase_axes_60min_stlc_hemi_zoom5-01-79-87.tif_registered.tif	wt_late_prophase_one_sister_labelled	0.4787070707070708	-0.0299191919191919	fig3a, d, e
Scc1_EdU_Hoechst_220207_5389_WT_c2_rep2_prophase_axes_60min_stlc_hemi_zoom5-01-79-87.tif_registered.tif	wt_late_prophase_one_sister_labelled	0.5996363636363636	0.094060606060606	fig3a, d, e
